id,name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,Timestamp
3408,USDC,USDC,usd-coin,FALSE,78676012029,78676012029,,2018-10-08T00:00:00.000Z,38693,6,2026-04-13T13:47:00.000Z,,,60901219650,60881276008,78650247582,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.999672525,8129814559,6570781976,1559032583,27.5876,-0.00181089,-0.01593089,-0.0264499,-0.02663902,-0.02819135,0.00285843,78650247582,3.25,78650247582,,2026-04-13T13:47:00.000Z,1027,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,20:58.4
5426,Solana,SOL,solana,TRUE,574520036.7,624254555.7,,2020-04-10T00:00:00.000Z,1117,7,2026-04-13T13:48:00.000Z,,,525236893.3,43377151956,51554612916,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",82.58588174,3484783912,3484751482,32429.29748,-77.5089,0.48831427,0.70073424,0.22744541,-5.29831921,1.27314308,-42.06497265,47447243807,1.9606,51554612916,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
1958,TRON,TRX,tron,TRUE,94774095671,94774072124,,2017-09-13T00:00:00.000Z,1327,8,2026-04-13T13:48:00.000Z,,,94667886298,30352942526,30386988414,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.320625544,577480343.5,577419726.2,60617.38013,9.4235,-0.18161043,-0.34032291,0.87112061,8.07346968,15.19719625,7.203826,30386995964,1.2557,30386988414,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
74,Dogecoin,DOGE,dogecoin,TRUE,1.69525E+11,1.69525E+11,,2013-12-15T00:00:00.000Z,1430,9,2026-04-13T13:47:00.000Z,,,,,15449226957,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.091132299,941083010.6,940653860.8,429149.7349,-31.229,-0.09407611,0.13375052,-1.33096726,-4.46383102,-3.19177839,-34.78880658,15449226957,0.6384,15449226957,,2026-04-13T13:47:00.000Z,,,,,,20:58.4
32196,Hyperliquid,HYPE,hyperliquid,FALSE,255834051.1,956047179.3,961671487.9,2024-07-15T10:14:50.000Z,255,10,2026-04-13T13:48:00.000Z,,,333931719,14083611610,40321408203,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",42.17512386,218107594.8,181214882.8,36892712.05,-10.144,1.09616557,4.61615393,13.43368162,10.7933847,35.7095913,72.43905007,10789832792,0.4459,40558614114,,2026-04-13T13:48:00.000Z,32196,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec,20:58.4
3957,UNUS SED LEO,LEO,unus-sed-leo,FALSE,920854368.9,985239504,,2019-05-21T00:00:00.000Z,68,11,2026-04-13T13:48:00.000Z,,,,,9976278548,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",10.12573949,415385.6748,415385.6748,0,-0.4281,0.01443411,0.05177616,0.08253197,11.66675212,19.46798487,11.95019798,9324331443,0.3855,9976278548,,2026-04-13T13:48:00.000Z,1027,ethereum,Ethereum,ETH,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,20:58.4
2010,Cardano,ADA,cardano,FALSE,36113714118,44994545488,45000000000,2017-10-01T00:00:00.000Z,1696,12,2026-04-13T13:48:00.000Z,,,37997904336,9113654458,10791772526,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.239846239,425855777.3,425143551.1,712226.1848,-29.8015,0.29666996,0.32625983,-5.96768263,-8.26041084,-9.90999598,-39.28636615,8661738520,0.3579,10793080770,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
1831,Bitcoin Cash,BCH,bitcoin-cash,FALSE,20020593.75,20020593.75,21000000,2017-07-23T00:00:00.000Z,1150,13,2026-04-13T13:48:00.000Z,,,,,8518767211,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",425.5002283,173291858.7,173223967.3,67891.37054,-24.6947,-0.21564401,0.43831448,-2.98832318,-7.40331481,-17.3644767,-30.28891064,8518767211,0.3522,8935504794,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
328,Monero,XMR,monero,TRUE,18446744.07,18446744.07,,2014-05-21T00:00:00.000Z,366,14,2026-04-13T13:48:00.000Z,,,,,6368586026,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",345.2417403,99002310.98,99002310.98,0,26.1707,-0.25972708,2.25277621,5.39686702,-3.81400964,1.2054017,-47.58506835,6368586026,0.2633,6368586026,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
1975,Chainlink,LINK,chainlink,FALSE,727099970.5,1000000000,1000000000,2017-09-20T00:00:00.000Z,2231,15,2026-04-13T13:48:00.000Z,,,,,8740027578,"['platform', 'cosmos-ecosystem', 'defi', 'privacy', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",8.740027578,454787008.1,453395634.3,1391373.766,-14.7345,0.2536804,-0.19920051,-3.06702878,-2.96445485,2.3801724,-34.3902954,6354873793,0.2627,8740027578,,2026-04-13T13:48:00.000Z,1027,ethereum,Ethereum,ETH,0x514910771af9ca656af840dff83e8264ecf986ca,20:58.4
1,Bitcoin,BTC,bitcoin,FALSE,20015281,20015281,21000000,2010-07-13T00:00:00.000Z,12601,1,2026-04-13T13:48:00.000Z,,,,,1.42107E+12,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",70999.23371,28907921527,28888378964,19542562.86,0.5458,0.16412785,0.06240242,2.44061872,0.24154538,4.33364808,-22.90924003,1.42107E+12,58.751,1.49098E+12,,2026-04-13T13:48:00.000Z,,,,,,
1027,Ethereum,ETH,ethereum,TRUE,120691023.6,120691023.6,,2015-08-07T00:00:00.000Z,11741,2,2026-04-13T13:47:00.000Z,,,,,2.63896E+11,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",2186.538977,13296121859,13219277810,76844049.5,-21.2909,0.15034377,-0.18964699,1.94047007,5.22167957,9.96206266,-30.37616983,2.63896E+11,10.9102,2.63896E+11,,2026-04-13T13:47:00.000Z,,,,,,
825,Tether USDt,USDT,tether,TRUE,1.84436E+11,1.88873E+11,,2015-02-25T00:00:00.000Z,177320,3,2026-04-13T13:47:00.000Z,,,,,1.88886E+11,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",1.000069848,60070869650,58418345929,1652523721,-19.6147,0.01487674,-0.01565653,0.01623394,-0.01428277,0.06019096,0.11751794,1.84449E+11,7.6256,1.88886E+11,,2026-04-13T13:47:00.000Z,1027,ethereum,Ethereum,ETH,0xdac17f958d2ee523a2206206994597c13d831ec7,
52,XRP,XRP,xrp,FALSE,61405531717,99985687636,1E+11,2013-08-04T00:00:00.000Z,1823,4,2026-04-13T13:47:00.000Z,,,,,1.32949E+11,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",1.329675512,1790121440,1789472239,649200.9426,-11.3386,0.27313353,0.06984687,-1.10454168,-4.58008403,-4.84499441,-35.70860432,81649431806,3.3756,1.32968E+11,,2026-04-13T13:47:00.000Z,,,,,,
1839,BNB,BNB,bnb,FALSE,136356472.4,136356472.4,136356474.1,2017-07-25T00:00:00.000Z,3184,5,2026-04-13T13:48:00.000Z,,,,,81319352543,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",596.3732495,1652241153,1629012502,23228651.74,-11.8011,-0.22406689,0.69213576,-1.58685339,-8.84075031,-3.25817521,-34.41753713,81319352543,3.362,81319353521,,2026-04-13T13:48:00.000Z,,,,,,
3408,USDC,USDC,usd-coin,FALSE,78676012029,78676012029,,2018-10-08T00:00:00.000Z,38693,6,2026-04-13T13:47:00.000Z,,,60901219650,60881276008,78650247582,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",0.999672525,8129814559,6570781976,1559032583,27.5876,-0.00181089,-0.01593089,-0.0264499,-0.02663902,-0.02819135,0.00285843,78650247582,3.25,78650247582,,2026-04-13T13:47:00.000Z,1027,ethereum,Ethereum,ETH,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
5426,Solana,SOL,solana,TRUE,574520036.7,624254555.7,,2020-04-10T00:00:00.000Z,1117,7,2026-04-13T13:48:00.000Z,,,525236893.3,43377151956,51554612916,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",82.58588174,3484783912,3484751482,32429.29748,-77.5089,0.48831427,0.70073424,0.22744541,-5.29831921,1.27314308,-42.06497265,47447243807,1.9606,51554612916,,2026-04-13T13:48:00.000Z,,,,,,
1958,TRON,TRX,tron,TRUE,94774095671,94774072124,,2017-09-13T00:00:00.000Z,1327,8,2026-04-13T13:48:00.000Z,,,94667886298,30352942526,30386988414,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",0.320625544,577480343.5,577419726.2,60617.38013,9.4235,-0.18161043,-0.34032291,0.87112061,8.07346968,15.19719625,7.203826,30386995964,1.2557,30386988414,,2026-04-13T13:48:00.000Z,,,,,,
74,Dogecoin,DOGE,dogecoin,TRUE,1.69525E+11,1.69525E+11,,2013-12-15T00:00:00.000Z,1430,9,2026-04-13T13:47:00.000Z,,,,,15449226957,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.091132299,941083010.6,940653860.8,429149.7349,-31.229,-0.09407611,0.13375052,-1.33096726,-4.46383102,-3.19177839,-34.78880658,15449226957,0.6384,15449226957,,2026-04-13T13:47:00.000Z,,,,,,
32196,Hyperliquid,HYPE,hyperliquid,FALSE,255834051.1,956047179.3,961671487.9,2024-07-15T10:14:50.000Z,255,10,2026-04-13T13:48:00.000Z,,,333931719,14083611610,40321408203,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",42.17512386,218107594.8,181214882.8,36892712.05,-10.144,1.09616557,4.61615393,13.43368162,10.7933847,35.7095913,72.43905007,10789832792,0.4459,40558614114,,2026-04-13T13:48:00.000Z,32196,hyperliquid,Hyperliquid,HYPE,0x0d01dc56dcaaca66ad901c959b4011ec,
3957,UNUS SED LEO,LEO,unus-sed-leo,FALSE,920854368.9,985239504,,2019-05-21T00:00:00.000Z,68,11,2026-04-13T13:48:00.000Z,,,,,9976278548,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",10.12573949,415385.6748,415385.6748,0,-0.4281,0.01443411,0.05177616,0.08253197,11.66675212,19.46798487,11.95019798,9324331443,0.3855,9976278548,,2026-04-13T13:48:00.000Z,1027,ethereum,Ethereum,ETH,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,
2010,Cardano,ADA,cardano,FALSE,36113714118,44994545488,45000000000,2017-10-01T00:00:00.000Z,1696,12,2026-04-13T13:48:00.000Z,,,37997904336,9113654458,10791772526,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",0.239846239,425855777.3,425143551.1,712226.1848,-29.8015,0.29666996,0.32625983,-5.96768263,-8.26041084,-9.90999598,-39.28636615,8661738520,0.3579,10793080770,,2026-04-13T13:48:00.000Z,,,,,,
1831,Bitcoin Cash,BCH,bitcoin-cash,FALSE,20020593.75,20020593.75,21000000,2017-07-23T00:00:00.000Z,1150,13,2026-04-13T13:48:00.000Z,,,,,8518767211,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",425.5002283,173291858.7,173223967.3,67891.37054,-24.6947,-0.21564401,0.43831448,-2.98832318,-7.40331481,-17.3644767,-30.28891064,8518767211,0.3522,8935504794,,2026-04-13T13:48:00.000Z,,,,,,
328,Monero,XMR,monero,TRUE,18446744.07,18446744.07,,2014-05-21T00:00:00.000Z,366,14,2026-04-13T13:48:00.000Z,,,,,6368586026,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio', 'layer-1', '2017-2018-alt-season', 'binance-ecosystem', 'binance-listing', 'privacy-coins']",345.2417403,99002310.98,99002310.98,0,26.1707,-0.25972708,2.25277621,5.39686702,-3.81400964,1.2054017,-47.58506835,6368586026,0.2633,6368586026,,2026-04-13T13:48:00.000Z,,,,,,
1975,Chainlink,LINK,chainlink,FALSE,727099970.5,1000000000,1000000000,2017-09-20T00:00:00.000Z,2231,15,2026-04-13T13:48:00.000Z,,,,,8740027578,"['platform', 'cosmos-ecosystem', 'defi', 'privacy', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",8.740027578,454787008.1,453395634.3,1391373.766,-14.7345,0.2536804,-0.19920051,-3.06702878,-2.96445485,2.3801724,-34.3902954,6354873793,0.2627,8740027578,,2026-04-13T13:48:00.000Z,1027,ethereum,Ethereum,ETH,0x514910771af9ca656af840dff83e8264ecf986ca,
1,Bitcoin,BTC,bitcoin,FALSE,20015281,20015281,21000000,2010-07-13T00:00:00.000Z,12601,1,2026-04-13T13:48:00.000Z,,,,,1.42107E+12,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",70999.23371,28907921527,28888378964,19542562.86,0.5458,0.16412785,0.06240242,2.44061872,0.24154538,4.33364808,-22.90924003,1.42107E+12,58.751,1.49098E+12,,2026-04-13T13:48:00.000Z,,,,,,20:58.4
1027,Ethereum,ETH,ethereum,TRUE,120691023.6,120691023.6,,2015-08-07T00:00:00.000Z,11741,2,2026-04-13T13:47:00.000Z,,,,,2.63896E+11,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem', 'sec-cftc-token-taxonomy', 'sec-cftc-digital-commodities']",2186.538977,13296121859,13219277810,76844049.5,-21.2909,0.15034377,-0.18964699,1.94047007,5.22167957,9.96206266,-30.37616983,2.63896E+11,10.9102,2.63896E+11,,2026-04-13T13:47:00.000Z,,,,,,20:58.4
